"order"	"family"	"genus"	"specific_epithet"	"common_name"	"year"	"month"	"newborn"	"juvenile"	"female"	"unid_adult"	"migrant_resident"
"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"African buffalo"	1965	NA	3690	4467	18425	NA	"R"
"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"African buffalo"	1966	NA	4082	5653	20787	NA	"R"
"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"African buffalo"	1967	NA	4311	5500	21684	NA	"R"
"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"African buffalo"	1968	NA	4722	6106	23801	NA	"R"
"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"African buffalo"	1969	NA	5036	8161	26371	NA	"R"
"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"African buffalo"	1970	NA	5977	7979	28236	NA	"R"
"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"African buffalo"	1971	NA	7220	6902	26901	NA	"R"
"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"African buffalo"	1972	NA	5889	8454	28163	NA	"R"
"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"African buffalo"	1973	NA	5159	9492	30671	NA	"R"
"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"African buffalo"	1984	NA	2	5	15	NA	"R"
"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"African buffalo"	1987	NA	2	11	12	NA	"R"
"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"African buffalo"	1988	NA	12	9	46	NA	"R"
"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"African buffalo"	1989	NA	75	36	292	NA	"R"
"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"African buffalo"	1990	NA	120	66	439	NA	"R"
"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"African buffalo"	1991	NA	9	0	69	NA	"R"
"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"African buffalo"	1992	NA	46	0	144	NA	"R"
"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"African buffalo"	1993	NA	56	15	654	NA	"R"
"Artiodactyla"	"Bovidae"	"Syncerus"	"caffer"	"African buffalo"	1994	NA	49	6	177	NA	"R"
"Artiodactyla"	"Bovidae"	"Taurotragus"	"oryx"	"Eland"	1980	NA	215	205	NA	604	"M"
"Artiodactyla"	"Bovidae"	"Taurotragus"	"oryx"	"Eland"	1989	NA	2	2	NA	29	"M"
